signature_id,task_id,dataset_id,trial_id,lineage_class,same_therapy,same_endpoint,same_disease,same_tissue_compartment,coverage_fraction,coverage_status,adequate_task_arms,evaluation_role,primary_validation_eligible,transportability_eligible,exclusion_reasons,phase0_note
SIG_ATNF_ARJIS5,T_ACT1_MH_W8,GSE12251_ACT1_MH,TRIAL_ACT1,REUSED_ORIGINAL_DATA,TRUE,TRUE,TRUE,TRUE,1.000,DIRECT_SYMBOL_AUDIT,FALSE,REUSED_OR_RELATED_DATA_AUDIT_ONLY,FALSE,FALSE,ARM_LT_15;SECONDARY_TASK;REUSED_ORIGINAL_DATA,"Frozen eligibility only; no scores, predictions, metrics, intervals or hypothesis tests."
SIG_ATNF_ARJIS5,T_ACT1_CR_W8,GSE23597_ACT1,TRIAL_ACT1,SAME_TRIAL_OR_REUPLOAD_RELATED,TRUE,FALSE,TRUE,TRUE,1.000,DIRECT_SYMBOL_AUDIT,FALSE,REUSED_OR_RELATED_DATA_AUDIT_ONLY,FALSE,FALSE,ARM_LT_15;SAME_TRIAL_OR_REUPLOAD_RELATED,"Frozen eligibility only; no scores, predictions, metrics, intervals or hypothesis tests."
SIG_ATNF_ARJIS5,T_ACT1_CR_W30,GSE23597_ACT1,TRIAL_ACT1,SAME_TRIAL_OR_REUPLOAD_RELATED,TRUE,FALSE,TRUE,TRUE,1.000,DIRECT_SYMBOL_AUDIT,FALSE,REUSED_OR_RELATED_DATA_AUDIT_ONLY,FALSE,FALSE,ARM_LT_15;SECONDARY_TASK;SAME_TRIAL_OR_REUPLOAD_RELATED,"Frozen eligibility only; no scores, predictions, metrics, intervals or hypothesis tests."
SIG_ATNF_ARJIS5,T_ARJIS_UC_MH,GSE16879_UC_CD,COHORT_LEUVEN_ARJIS,SAME_TRIAL_OR_REUPLOAD_RELATED,TRUE,TRUE,TRUE,TRUE,1.000,DIRECT_SYMBOL_AUDIT,FALSE,REUSED_OR_RELATED_DATA_AUDIT_ONLY,FALSE,FALSE,ARM_LT_15;SAME_TRIAL_OR_REUPLOAD_RELATED,"Frozen eligibility only; no scores, predictions, metrics, intervals or hypothesis tests."
SIG_ATNF_ARJIS5,T_ARJIS_CDC_ER,GSE16879_UC_CD,COHORT_LEUVEN_ARJIS,SAME_TRIAL_OR_REUPLOAD_RELATED,TRUE,FALSE,FALSE,TRUE,1.000,DIRECT_SYMBOL_AUDIT,FALSE,REUSED_OR_RELATED_DATA_AUDIT_ONLY,FALSE,FALSE,ARM_LT_15;SAME_TRIAL_OR_REUPLOAD_RELATED,"Frozen eligibility only; no scores, predictions, metrics, intervals or hypothesis tests."
SIG_ATNF_ARJIS5,T_GSE73661_IFX_MH,GSE73661_IFX,COHORT_GSE73661_IFX,INDEPENDENT_TRIAL_OR_COHORT,TRUE,TRUE,TRUE,TRUE,1.000,DIRECT_SYMBOL_AUDIT,FALSE,NOT_EXECUTABLE_OR_SECONDARY,FALSE,FALSE,ARM_LT_15,"Frozen eligibility only; no scores, predictions, metrics, intervals or hypothesis tests."
SIG_ATNF_ARJIS5,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,INDEPENDENT_TRIAL_OR_COHORT,TRUE,FALSE,TRUE,TRUE,1.000,DIRECT_SYMBOL_AUDIT,TRUE,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,FALSE,TRUE,,"Frozen eligibility only; no scores, predictions, metrics, intervals or hypothesis tests."
SIG_ATNF_ARJIS5,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,INDEPENDENT_TRIAL_OR_COHORT,TRUE,TRUE,TRUE,TRUE,1.000,DIRECT_SYMBOL_AUDIT,TRUE,SAME_THERAPY_SAME_ENDPOINT_EXTERNAL,TRUE,TRUE,,"Frozen eligibility only; no scores, predictions, metrics, intervals or hypothesis tests."
SIG_ATNF_ARJIS5,T_PROGECT_REM_W6,GSE212849_PROGECT,TRIAL_PROGECT,INDEPENDENT_TRIAL_OR_COHORT,TRUE,FALSE,TRUE,TRUE,1.000,DIRECT_SYMBOL_AUDIT,FALSE,NOT_EXECUTABLE_OR_SECONDARY,FALSE,FALSE,ARM_LT_15;SECONDARY_TASK,"Frozen eligibility only; no scores, predictions, metrics, intervals or hypothesis tests."
SIG_ATNF_ARJIS5,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,INDEPENDENT_TRIAL_OR_COHORT,TRUE,FALSE,FALSE,TRUE,1.000,DIRECT_SYMBOL_AUDIT,TRUE,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,FALSE,TRUE,,"Frozen eligibility only; no scores, predictions, metrics, intervals or hypothesis tests."
