signature_id,paper_id,signature_type,therapy,disease,sample_compartment,endpoint_family,n_genes,direction_available,coefficients_available,discovery_datasets,datasets_used_in_original_paper,reconstruction_status,main_grid_eligible,verified,notes
SIG_ATNF_ARJIS5,P_ARJIS_UC,FINITE_DIRECTIONAL_GENE_SET,ANTI_TNF_INFLIXIMAB,UC,mucosa,MUCOSAL_HEALING,5,TRUE,FALSE,GSE14580;GSE12251,GSE14580;GSE12251,COMPLETE,TRUE,True,Five classic genes; NR-high
SIG_ATNF_OSM1,P_OSM,SINGLE_GENE_MARKER,ANTI_TNF,IBD,mucosa,PRIMARY_NON_RESPONSE,1,TRUE,FALSE,GSE12251;GSE16879;GSE23597,classic cohorts plus source tissue,COMPLETE,TRUE,True,OSM NR-high
SIG_ATNF_TREM1_BLOOD,P_GAUJOUX,SINGLE_GENE_MARKER,ANTI_TNF,CD,whole blood,INDUCTION_CLINICAL_RESPONSE,1,TRUE,FALSE,GSE107865,GSE107865,COMPLETE,FALSE,True,Reconstructable but wrong compartment for mucosal primary grid
SIG_ATNF_7GENE,P_SEVEN,FINITE_DIRECTIONAL_GENE_SET,ANTI_TNF,IBD,mucosa,INDUCTION_CLINICAL_RESPONSE,7,TRUE,FALSE,GSE12251;GSE23597;GSE14580;E-MTAB-7604,none independent,COMPLETE,TRUE,True,Directional seven-gene ATR panel; original calibrated threshold not frozen here
SIG_MIN6,P_MIN,FINITE_UNSIGNED_GENE_SET,ANTI_TNF;ANTI_INTEGRIN_VEDOLIZUMAB,IBD,mucosa,INDUCTION_CLINICAL_RESPONSE,6,FALSE,FALSE,mixed public cohorts,mixed,PARTIAL,FALSE,True,Membership recovered; exact transform/directions not recovered from accessible source
SIG_VDZ4,P_VDZ4,FINITE_DIRECTIONAL_GENE_SET,ANTI_INTEGRIN_VEDOLIZUMAB,UC;CD,mucosa,ENDOSCOPIC_REMISSION,4,TRUE,FALSE,E-MTAB-7845,E-MTAB-7845;GSE73661,COMPLETE,TRUE,True,All genes higher in remitters
SIG_VDZ_ANDO7,P_ANDO2026,FINITE_DIRECTIONAL_GENE_SET,ANTI_INTEGRIN_VEDOLIZUMAB,UC,mucosa,MUCOSAL_HEALING,7,TRUE,FALSE,GSE282580,GSE73661,COMPLETE,TRUE,True,Directions recovered; numerical coefficients not reported in text
SIG_UST4_COEF,P_UST4,FINITE_DIRECTIONAL_GENE_SET,IL12_23_USTEKINUMAB,CD,mucosa,INDUCTION_CLINICAL_RESPONSE,4,TRUE,TRUE,GSE112366,internal split,COMPLETE,TRUE,True,Four coefficients recovered but intercept absent; paper token CF1 corrected to CFI from its own predictor table
SIG_UST_HUB4,P_UST_HUB,FINITE_DIRECTIONAL_GENE_SET,IL12_23_USTEKINUMAB,CD,mucosa,INDUCTION_CLINICAL_RESPONSE,4,TRUE,FALSE,GSE112366;GSE207022;GSE207465,same UNITI-2 trial,COMPLETE,TRUE,True,MUC1/DUOX2/LCN2/PDZK1IP1 lower in responders
SIG_UST_MH2,P_UST_MH2,FINITE_DIRECTIONAL_GENE_SET,IL12_23_USTEKINUMAB,CD,mucosa,MUCOSAL_HEALING,2,TRUE,FALSE,GSE207022,MORE private prospective cohort,COMPLETE,TRUE,True,LCN2 and KDM5D higher in nonresponders
SIG_CROSS_UC4,P_UC4_CROSS,FINITE_DIRECTIONAL_GENE_SET,ANTI_TNF;ANTI_INTEGRIN_VEDOLIZUMAB,UC,mucosa,MUCOSAL_HEALING,4,TRUE,FALSE,GSE12251;GSE73661,same accessions,COMPLETE,TRUE,True,IGFBP5/SELE/STC1/VNN2 higher in nonresponders
